t,pitch,joint1,joint2,d_pitch,vel_j1,vel_j2
0.0,0.18558,-0.18558,0.0,0.0,0.0,0.0
0.001,0.18558000001466346,-0.18558000002957922,1.9661213892383724e-11,2.9326915396736178e-8,-5.915791168027625e-8,3.93211424326896e-8
0.002,0.18558000006929362,-0.1855799888580882,-3.999284953907067e-8,7.993518301368851e-8,2.240143789014734e-5,-8.006214087858994e-5
0.003,0.1855800074324506,-0.18558219722878702,6.786914407142072e-6,1.4646238465965743e-5,-0.004439019456690462,0.013733496110141779
0.004,0.18557997392183578,-0.1855762297978887,-1.0132246179364722e-5,-8.166406023624992e-5,0.01637356182624678,-0.047570858766304694
0.005,0.18557990183094836,-0.18556276819690534,-4.8691780868737535e-5,-6.251715601282028e-5,0.010548930587913506,-0.029546044424931542
0.006,0.18557979633065266,-0.18554336382929734,-0.00010409762374701723,-0.00014847354649567658,0.0282587632500544,-0.08126250734929799
0.007,0.1855796648388269,-0.1855202467259276,-0.0001694591250044969,-0.0001145112211518655,0.017974241380069145,-0.049456822264332824
0.008,0.1855795161185423,-0.18549605085801055,-0.00023663951005239504,-0.00018291977632540565,0.03041622810522346,-0.08490014060808897
0.009000000000000001,0.18557935921792795,-0.1854734897244537,-0.0002972603094603938,-0.00013088473110730954,0.014704914227737806,-0.03633803686491249
0.010000000000000002,0.18557920238415618,-0.18545502235139916,-0.0003437354932237667,-0.00018277751943131162,0.022228935593642692,-0.05660966902975283
0.011000000000000003,0.1855790520845162,-0.1854425508118546,-0.0003702080117406852,-0.00011782364108680344,0.0027136183123768684,0.0036661710505671774
0.012000000000000004,0.18557891225384435,-0.18543718668230058,-0.00037327288241351326,-0.00016183665063464626,0.008014524470779823,-0.009795662383805716
0.013000000000000005,0.18557878385819357,-0.18543911517044134,-0.000352397822840397,-9.495227116529784e-5,-0.011871194510361891,0.05154470886360006
0.014000000000000005,0.1855786648269429,-0.18544757371806325,-0.0003099893960190925,-0.00014311330016344485,-0.0050451994961078096,0.03326986762684535
0.015000000000000006,0.1855785503610793,-0.18546094770452565,-0.00025109652482956845,-8.581388419893461e-5,-0.021701798264708937,0.08451270427852184
0.016000000000000007,0.18557843358082404,-0.18547697141176864,-0.0001827880526252685,-0.0001477541756244106,-0.010344448754839777,0.0521005248792433
0.017000000000000008,0.18557830643492493,-0.18549300951206446,-0.00011328095591187047,-0.000106534841511456,-0.021730591658909924,0.08690991670375607
0.01800000000000001,0.1855781607612725,-0.18550638425613863,-5.092705780991252e-5,-0.00018482142021744618,-0.005017843164333766,0.03779450649000364
0.01900000000000001,0.1855779893690048,-0.18551470808006337,-3.1829665917339984e-6,-0.00015796241759400732,-0.01162904116373874,0.057691143836344286
0.02000000000000001,0.1855777870074902,-0.18551618047743446,2.430932567174635e-5,-0.0002467642779736318,0.0086846506893102,-0.0027079676894045507
0.02100000000000001,0.18557755110050866,-0.1855098125765089,2.8418003587593684e-5,-0.00022504865399874388,0.004051119733118233,0.010925232348176127
0.022000000000000013,0.1855772821522894,-0.18549555163040238,8.907094537767495e-6,-0.00031284226122921396,0.024470301553868014,-0.04994581214814938
0.023000000000000013,0.18557698377327722,-0.18547429007922425,-3.15352375290683e-5,-0.0002839142843854852,0.018051959009936492,-0.030936452849578674
0.024000000000000014,0.18557672783918266,-0.18545492696933796,-7.00710238971462e-5,-0.0002279496048047527,0.02067346534010958,-0.04613284721778615
0.025000000000000015,0.18557658574586836,-0.18544626671896478,-8.414289479382291e-5,-5.6238138464329865e-5,-0.003353270068209442,0.017989957313425696
0.026000000000000016,0.18557655978126716,-0.1854489293400611,-7.186945267772624e-5,4.308177573778723e-6,-0.001971767122662532,0.0065562660527338935
0.027000000000000017,0.18557664845390098,-0.18546244430213327,-3.471956090631801e-5,0.00017304039449257019,-0.02505747630387148,0.06774143342277707
0.028000000000000018,0.18557684668279611,-0.18548530901200652,2.266876874740265e-5,0.000223411108530054,-0.02067083920638546,0.04703194690026802
